"大类","类型","CCF分级","川大分级","简称","全称"
"计算机体系结构/并行与分布计算/存储系统","期刊","A","D","TOCS","ACM Transactions on Computer Systems"
"计算机体系结构/并行与分布计算/存储系统","期刊","A","D","TOS","ACM Transactions on Storage"
"计算机体系结构/并行与分布计算/存储系统","期刊","A","C","TCAD","IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems"
"计算机体系结构/并行与分布计算/存储系统","期刊","A","C","TC","IEEE Transactions on Computers"
"计算机体系结构/并行与分布计算/存储系统","期刊","A","C","TPDS","IEEE Transactions on Parallel and Distributed Systems"
"计算机体系结构/并行与分布计算/存储系统","期刊","A","D","TACO","ACM Transactions on Architecture and Code Optimization"
"计算机体系结构/并行与分布计算/存储系统","期刊","B","D","TAAS","ACM Transactions on Autonomous and Adaptive Systems"
"计算机体系结构/并行与分布计算/存储系统","期刊","B","E","TODAES","ACM Transactions on Design Automation of Electronic Systems"
"计算机体系结构/并行与分布计算/存储系统","期刊","B","D","TECS","ACM Transactions on Embedded Computing Systems"
"计算机体系结构/并行与分布计算/存储系统","期刊","B","E","TRETS","ACM Transactions on Reconfigurable Technology and Systems"
"计算机体系结构/并行与分布计算/存储系统","期刊","B","C","TVLSI","IEEE Transactions on Very Large Scale Integration (VLSI) Systems"
"计算机体系结构/并行与分布计算/存储系统","期刊","B","D","JPDC","Journal of Parallel and Distributed Computing"
"计算机体系结构/并行与分布计算/存储系统","期刊","B","D","JSA","Journal of Systems Architecture: Embedded Software Design"
"计算机体系结构/并行与分布计算/存储系统","期刊","B","D","","Parallel Computing"
"计算机体系结构/并行与分布计算/存储系统","期刊","B","D","","Performance Evaluation: An International Journal"
"计算机体系结构/并行与分布计算/存储系统","期刊","B","C","TCC","IEEE Transactions on Cloud Computing"
"计算机体系结构/并行与分布计算/存储系统","期刊","C","E","JETC","ACM Journal on Emerging Technologies in Computing Systems"
"计算机体系结构/并行与分布计算/存储系统","期刊","C","E","","Concurrency and Computation: Practice and Experience"
"计算机体系结构/并行与分布计算/存储系统","期刊","C","D","DC","Distributed Computing"
"计算机体系结构/并行与分布计算/存储系统","期刊","C","B","FGCS","Future Generation Computer Systems"
"计算机体系结构/并行与分布计算/存储系统","期刊","C","D","Integration","Integration, the VLSI Journal"
"计算机体系结构/并行与分布计算/存储系统","期刊","C","E","JETTA","Journal of Electronic Testing-Theory and Applications"
"计算机体系结构/并行与分布计算/存储系统","期刊","C","D","JGC","Journal of Grid computing"
"计算机体系结构/并行与分布计算/存储系统","期刊","C","C","RTS","Real-Time Systems"
"计算机体系结构/并行与分布计算/存储系统","期刊","C","E","TJSC","The Journal of Supercomputing"
"计算机体系结构/并行与分布计算/存储系统","期刊","C","B","TCASI","IEEE Transactions on Circuits and Systems I: Regular Papers"
"计算机体系结构/并行与分布计算/存储系统","期刊","C",,"CCF-THPC","CCF Transactions on High Performance Computing"
"计算机体系结构/并行与分布计算/存储系统","期刊","C",,"TSUSC","IEEE Transactions on Sustainable Computing"
"计算机体系结构/并行与分布计算/存储系统","会议","A",,"PPoPP","ACM SIGPLAN Symposium on Principles & Practice of Parallel Programming"
"计算机体系结构/并行与分布计算/存储系统","会议","A",,"FAST","USENIX Conference on File and Storage Technologies"
"计算机体系结构/并行与分布计算/存储系统","会议","A",,"DAC","Design Automation Conference"
"计算机体系结构/并行与分布计算/存储系统","会议","A",,"HPCA","IEEE International Symposium on High Performance Computer Architecture"
"计算机体系结构/并行与分布计算/存储系统","会议","A",,"MICRO","IEEE/ACM International Symposium on Microarchitecture"
"计算机体系结构/并行与分布计算/存储系统","会议","A",,"SC","International Conference for High Performance Computing, Networking, Storage, and Analysis"
"计算机体系结构/并行与分布计算/存储系统","会议","A",,"ASPLOS","International Conference on Architectural Support for Programming Languages and Operating Systems"
"计算机体系结构/并行与分布计算/存储系统","会议","A",,"ISCA","International Symposium on Computer Architecture"
"计算机体系结构/并行与分布计算/存储系统","会议","A",,"ACM SIGOPS ATC （原USENIX ATC）","ACM SIGOPS Annual Technical Conference"
"计算机体系结构/并行与分布计算/存储系统","会议","A",,"EuroSys","European Conference on Computer Systems"
"计算机体系结构/并行与分布计算/存储系统","会议","A",,"HPDC","The International ACM Symposium on High-Performance Parallel and Distributed Computing"
"计算机体系结构/并行与分布计算/存储系统","会议","B",,"SoCC","ACM Symposium on Cloud Computing"
"计算机体系结构/并行与分布计算/存储系统","会议","B",,"SPAA","ACM Symposium on Parallelism in Algorithms and Architectures"
"计算机体系结构/并行与分布计算/存储系统","会议","B",,"PODC","ACM Symposium on Principles of Distributed Computing"
"计算机体系结构/并行与分布计算/存储系统","会议","B",,"FPGA","ACM/SIGDA International Symposium on Field-Programmable Gate Arrays"
"计算机体系结构/并行与分布计算/存储系统","会议","B",,"CGO","The International Symposium on Code Generation and Optimization"
"计算机体系结构/并行与分布计算/存储系统","会议","B",,"DATE","Design, Automation & Test in Europe"
"计算机体系结构/并行与分布计算/存储系统","会议","B",,"HOT CHIPS","Hot Chips: A Symposium on High Performance Chips"
"计算机体系结构/并行与分布计算/存储系统","会议","B",,"CLUSTER","IEEE International Conference on Cluster Computing"
"计算机体系结构/并行与分布计算/存储系统","会议","B",,"ICCD","International Conference on Computer Design"
"计算机体系结构/并行与分布计算/存储系统","会议","B",,"ICCAD","International Conference on Computer-Aided Design"
"计算机体系结构/并行与分布计算/存储系统","会议","B",,"ICDCS","IEEE International Conference on Distributed Computing Systems"
"计算机体系结构/并行与分布计算/存储系统","会议","B",,"CODES+ ISSS","International Conference on Hardware/Software Co-design and System Synthesis"
"计算机体系结构/并行与分布计算/存储系统","会议","B",,"HiPEAC","International Conference on High Performance and Embedded Architectures and Compilers"
"计算机体系结构/并行与分布计算/存储系统","会议","B",,"SIG-METRICS","International Conference on Measurement and Modeling of Computer Systems"
