fullname,abbr,issn,category,rank,ccf-rank,分区,Top 期刊
Nature,NATURE,0028-0836,综合性期刊,A,,1,是
Science,SCIENCE,0036-8075,综合性期刊,A,,1,是
Cell,CELL,0092-8674,生物学,A,,1,是
Nature Communications,NAT COMMUN,2041-1723,综合性期刊,A-,,1,是
Science Advances,SCI ADV,2375-2548,综合性期刊,A-,,1,是
Proceedings of the National Academy of Sciences of the United States of America,P NATL ACAD SCI USA,0027-8424,综合性期刊,A-,,1,是
Nature Immunology,NAT IMMUNOL,1529-2908,医学,A-,,1,是
Nature Medicine,NAT MED,1078-8956,医学,A-,,1,是
Nature Neuroscience,NAT NEUROSCI,1097-6256,医学,A-,,1,是
Nature Reviews Cancer,NAT REV CANCER,1474-175X,医学,A-,,1,是
Nature Reviews Cardiology,NAT REV CARDIOL,1759-5002,医学,A-,,1,是
Nature Reviews Clinical Oncology,NAT REV CLIN ONCOL,1759-4774,医学,A-,,1,是
Nature Reviews Disease Primers,NAT REV DIS PRIMERS,2056-676X,医学,A-,,1,是
Nature Reviews Drug Discovery,NAT REV DRUG DISCOV,1474-1776,医学,A-,,1,是
Nature Reviews Endocrinology,NAT REV ENDOCRINOL,1759-5029,医学,A-,,1,是
Nature Reviews Gastroenterology & Hepatology,NAT REV GASTRO HEPAT,1759-5045,医学,A-,,1,是
Nature Reviews Immunology,NAT REV IMMUNOL,1474-1733,医学,A-,,1,是
Nature Reviews Nephrology,NAT REV NEPHROL,1759-5061,医学,A-,,1,是
Nature Reviews Neurology,NAT REV NEUROL,1759-4758,医学,A-,,1,是
Nature Reviews Neuroscience,NAT REV NEUROSCI,1471-003X,医学,A-,,1,是
Nature Reviews Rheumatology,NAT REV RHEUMATOL,1759-4790,医学,A-,,1,是
Nature Reviews Urology,NAT REV UROL,1759-4812,医学,A-,,1,是
Science Immunology,SCI IMMUNOL,2470-9468,医学,A-,,1,是
Science Translational Medicine,SCI TRANSL MED,1946-6234,医学,A-,,1,是
Annals of Internal Medicine,ANN INTERN MED,0003-4819,医学,A-,,1,是
BMJ-British Medical Journal,BMJ-BRIT MED J,1756-1833,医学,A-,,1,是
Ca-A Cancer Journal for Clinicians,CA-CANCER J CLIN,0007-9235,医学,A-,,1,是
Cancer Cell,CANCER CELL,1535-6108,医学,A-,,1,是
Cancer Discovery,CANCER DISCOV,2159-8274,医学,A-,,1,是
Cell Stem Cell,CELL STEM CELL,1934-5909,医学,A-,,1,是
Circulation,CIRCULATION,0009-7322,医学,A-,,1,是
Clinical Microbiology Reviews,CLIN MICROBIOL REV,0893-8512,医学,A-,,1,是
European Heart Journal,EUR HEART J,0195-668X,医学,A-,,1,是
Immunity,IMMUNITY,1074-7613,医学,A-,,1,是
